Mon Apr 22 13:22:18 2013    output/python_streaming_number_data.profile

         6908036 function calls (6508036 primitive calls) in 14.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001    5.850    0.000    5.850    0.000 {method 'readline' of 'file' objects}
        1    2.280    2.280   14.364   14.364 /Users/jpacker/code/java-python-streaming/controller.py:45(main)
500000/100000    1.378    0.000    1.583    0.000 /Users/jpacker/code/java-python-streaming/controller.py:284(serialize_output)
   400000    0.702    0.000    0.702    0.000 /Users/jpacker/code/java-python-streaming/controller.py:317(cast_val)
   100000    0.616    0.000    2.394    0.000 /Users/jpacker/code/java-python-streaming/controller.py:171(deserialize_input)
   400000    0.536    0.000    1.481    0.000 /Users/jpacker/code/java-python-streaming/controller.py:183(_deserialize_input)
   399864    0.443    0.000    1.155    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   400000    0.356    0.000    1.524    0.000 /Users/jpacker/code/java-python-streaming/controller.py:144(log_message)
   400001    0.273    0.000    0.444    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100137    0.273    0.000    0.273    0.000 {method 'write' of 'file' objects}
   100001    0.267    0.000    6.193    0.000 /Users/jpacker/code/java-python-streaming/controller.py:123(get_next_input)
   400000    0.243    0.000    0.243    0.000 /Users/jpacker/code/java-python-streaming/controller.py:198(_get_schema)
   399864    0.215    0.000    0.659    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400001    0.171    0.000    0.171    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
   400280    0.167    0.000    0.167    0.000 {isinstance}
  1100002    0.129    0.000    0.129    0.000 {len}
   100002    0.116    0.000    0.116    0.000 {method 'split' of 'str' objects}
   400011    0.072    0.000    0.072    0.000 {method 'append' of 'list' objects}
   100002    0.062    0.000    0.062    0.000 {method 'endswith' of 'str' objects}
   100000    0.060    0.000    0.060    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   400137    0.058    0.000    0.058    0.000 {method 'flush' of 'file' objects}
   100000    0.047    0.000    0.047    0.000 {range}
   100002    0.037    0.000    0.037    0.000 {method 'join' of 'str' objects}

Mon Apr 22 13:24:08 2013    output/python_streaming_string_data.profile

         7308036 function calls (6908036 primitive calls) in 20.939 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001   12.605    0.000   12.605    0.000 {method 'readline' of 'file' objects}
        1    2.187    2.187   20.939   20.939 /Users/jpacker/code/java-python-streaming/controller.py:45(main)
500000/100000    1.365    0.000    1.999    0.000 /Users/jpacker/code/java-python-streaming/controller.py:284(serialize_output)
   100000    0.604    0.000    1.941    0.000 /Users/jpacker/code/java-python-streaming/controller.py:171(deserialize_input)
   400000    0.513    0.000    1.068    0.000 /Users/jpacker/code/java-python-streaming/controller.py:183(_deserialize_input)
   400000    0.445    0.000    0.445    0.000 {method 'encode' of 'unicode' objects}
   399864    0.428    0.000    1.129    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   400000    0.368    0.000    0.368    0.000 /Users/jpacker/code/java-python-streaming/controller.py:317(cast_val)
   400000    0.356    0.000    1.497    0.000 /Users/jpacker/code/java-python-streaming/controller.py:144(log_message)
   400001    0.274    0.000    0.436    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100001    0.271    0.000   12.951    0.000 /Users/jpacker/code/java-python-streaming/controller.py:123(get_next_input)
   100137    0.246    0.000    0.246    0.000 {method 'write' of 'file' objects}
   399864    0.209    0.000    0.644    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400000    0.188    0.000    0.188    0.000 /Users/jpacker/code/java-python-streaming/controller.py:198(_get_schema)
   400001    0.162    0.000    0.162    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
   400280    0.156    0.000    0.156    0.000 {isinstance}
  1100002    0.135    0.000    0.135    0.000 {len}
   100002    0.097    0.000    0.097    0.000 {method 'split' of 'str' objects}
   400011    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
   400137    0.061    0.000    0.061    0.000 {method 'flush' of 'file' objects}
   100002    0.060    0.000    0.060    0.000 {method 'endswith' of 'str' objects}
   100000    0.058    0.000    0.058    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   100000    0.043    0.000    0.043    0.000 {range}
   100002    0.033    0.000    0.033    0.000 {method 'join' of 'str' objects}

Wed Apr 24 23:34:47 2013    output/python_streaming_long_string_data.profile

         720305 function calls (695305 primitive calls) in 22.186 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12501   20.317    0.002   20.317    0.002 {method 'readline' of 'file' objects}
        1    0.795    0.795   22.186   22.186 /Users/jpacker/code/java-python-streaming/controller.py:45(main)
37500/12500    0.154    0.000    0.271    0.000 /Users/jpacker/code/java-python-streaming/controller.py:284(serialize_output)
